variant,n_co2,k,E_full,E_LJ,is_clash,alpha_Al,alpha_other
Al×0.50 other×1.00,4,3,61.50436519903072,20.753626299818936,False,0.5,1.0
Al×0.50 other×1.00,4,4,-145.8130252775707,14.115202044350971,False,0.5,1.0
Al×0.75 other×0.30,1,1,-26.702986819875708,-26.667360176754304,False,0.75,0.3
Al×0.75 other×0.30,2,1,-43.17088460869375,-3.6780812641131893,False,0.75,0.3
Al×0.75 other×0.30,2,2,27.587499582580772,-20.979376609014775,False,0.75,0.3
Al×0.75 other×0.30,3,1,-111.2680140655056,-13.582905882683757,False,0.75,0.3
Al×0.75 other×0.30,3,2,17.15240212911875,-16.909932940368453,False,0.75,0.3
Al×0.75 other×0.30,3,3,-86.44587033017498,-22.686930393053586,False,0.75,0.3
Al×0.75 other×0.30,4,1,-17.41025622145102,-2.621628165049877,False,0.75,0.3
Al×0.75 other×0.30,4,2,158.95168909373564,-15.221181077977718,False,0.75,0.3
Al×0.75 other×0.30,4,3,46.19935810872169,5.448619209509911,False,0.75,0.3
Al×0.75 other×0.30,4,4,-161.30509773244913,2.086868581953002,False,0.75,0.3
Al×0.75 other×0.50,1,1,-31.506652846702675,-31.465688253389963,False,0.75,0.5
Al×0.75 other×0.50,2,1,-39.483607366688105,-1.5951608938394715,False,0.75,0.5
Al×0.75 other×0.50,2,2,27.024464642907358,-23.88258755182997,False,0.75,0.5
Al×0.75 other×0.50,3,1,-96.99756988132214,-14.395694934221668,False,0.75,0.5
Al×0.75 other×0.50,3,2,24.136788126879548,-18.793869511722935,False,0.75,0.5
Al×0.75 other×0.50,3,3,-86.1089338401085,-26.251980463287172,False,0.75,0.5
Al×0.75 other×0.50,4,1,-13.490867306650289,-0.39930702958497044,False,0.75,0.5
Al×0.75 other×0.50,4,2,156.85849093099097,-18.02330005075384,False,0.75,0.5
Al×0.75 other×0.50,4,3,50.900514676769475,10.1497757775577,False,0.75,0.5
Al×0.75 other×0.50,4,4,-156.53071209853434,5.665397952716072,False,0.75,0.5
Al×0.75 other×0.70,1,1,-35.411245841961566,-35.37028124864885,False,0.75,0.7
Al×0.75 other×0.70,2,1,-36.486455439325205,0.09791190556682397,False,0.75,0.7
Al×0.75 other×0.70,2,2,26.566809537565454,-26.242422113135447,False,0.75,0.7
Al×0.75 other×0.70,3,1,-97.6582341364004,-15.056359189299908,False,0.75,0.7
Al×0.75 other×0.70,3,2,29.813948964194307,-20.325201102833123,False,0.75,0.7
Al×0.75 other×0.70,3,3,-85.83505970905664,-29.14978173719793,False,0.75,0.7
Al×0.75 other×0.70,4,1,-10.305046640317508,1.4070757393861788,False,0.75,0.7
Al×0.75 other×0.70,4,2,155.15706397118618,-20.30096341283619,False,0.75,0.7
Al×0.75 other×0.70,4,3,54.7217842868343,13.971045387622516,False,0.75,0.7
Al×0.75 other×0.70,4,4,-152.64991926265884,8.574155688240639,False,0.75,0.7
Al×0.75 other×1.00,1,1,-40.33413383700913,-40.29316924369641,False,0.75,1.0
Al×0.75 other×1.00,2,1,-32.70766383147644,2.2325281815934526,False,0.75,1.0
Al×0.75 other×1.00,2,2,25.989800659381277,-29.217687716043486,False,0.75,1.0
Al×0.75 other×1.00,3,1,-98.49119576237032,-15.889320815269848,False,0.75,1.0
Al×0.75 other×1.00,3,2,36.971680119761,-22.25589501010262,False,0.75,1.0
Al×0.75 other×1.00,3,3,-85.48976080759707,-32.8033126226683,False,0.75,1.0
Al×0.75 other×1.00,4,1,-6.288382590643532,3.684552561842889,False,0.75,1.0
Al×0.75 other×1.00,4,2,153.01191481862557,-23.172628048707434,False,0.75,1.0
Al×0.75 other×1.00,4,3,59.539618645516725,18.78887974630494,False,0.75,1.0
Al×0.75 other×1.00,4,4,-147.75703836926058,12.24150041638604,False,0.75,1.0
Al×1.00 other×0.30,1,1,-28.273856915918397,-28.25268870756516,False,1.0,0.3
Al×1.00 other×0.30,2,1,-44.769000129095545,-5.354419356775717,False,1.0,0.3
Al×1.00 other×0.30,2,2,25.901031798871625,-22.681471816336522,False,1.0,0.3
Al×1.00 other×0.30,3,1,-111.87922777721538,-15.252088039383796,False,1.0,0.3
Al×1.00 other×0.30,3,2,15.977352381526346,-18.524356911646183,False,1.0,0.3
Al×1.00 other×0.30,3,3,-88.06379320600041,-24.301333466182843,False,1.0,0.3
Al×1.00 other×0.30,4,1,-18.968536756917363,-4.2086416207192014,False,1.0,0.3
Al×1.00 other×0.30,4,2,158.0728576508905,-16.08622356862976,False,1.0,0.3
Al×1.00 other×0.30,4,3,44.54300014469006,3.7922612454782856,False,1.0,0.3
Al×1.00 other×0.30,4,4,-162.94397657961812,0.5072650406473689,False,1.0,0.3
Al×1.00 other×0.50,1,1,-33.07752294274536,-33.036558349432646,False,1.0,0.5
Al×1.00 other×0.50,2,1,-41.08172288708995,-3.271498986501999,False,1.0,0.5
Al×1.00 other×0.50,2,2,25.33799685919821,-25.584682759151715,False,1.0,0.5
Al×1.00 other×0.50,3,1,-98.6667520380222,-16.064877090921712,False,1.0,0.5
Al×1.00 other×0.50,3,2,22.961738379287112,-20.408293483000637,False,1.0,0.5
Al×1.00 other×0.50,3,3,-87.7268567159339,-27.86638353641642,False,1.0,0.5
Al×1.00 other×0.50,4,1,-15.049147842116623,-1.9863204852543026,False,1.0,0.5
Al×1.00 other×0.50,4,2,155.9796594881458,-18.888342541405887,False,1.0,0.5
Al×1.00 other×0.50,4,3,49.24415671273785,8.493417813526072,False,1.0,0.5
Al×1.00 other×0.50,4,4,-158.16959094570333,4.085794411410413,False,1.0,0.5
Al×1.00 other×0.70,1,1,-36.98211593800426,-36.941151344691555,False,1.0,0.7
Al×1.00 other×0.70,2,1,-38.084570959727024,-1.578426187095718,False,1.0,0.7
Al×1.00 other×0.70,2,2,24.880341753856307,-27.944517320457194,False,1.0,0.7
Al×1.00 other×0.70,3,1,-99.32741629310043,-16.72554134599995,False,1.0,0.7
Al×1.00 other×0.70,3,2,28.638899216601896,-21.939625074110815,False,1.0,0.7
Al×1.00 other×0.70,3,3,-87.45298258488201,-30.76418481032718,False,1.0,0.7
Al×1.00 other×0.70,4,1,-11.863327175783827,-0.17993771628314673,False,1.0,0.7
Al×1.00 other×0.70,4,2,154.27823252834102,-21.166005903488237,False,1.0,0.7
Al×1.00 other×0.70,4,3,53.06542632280267,12.314687423590891,False,1.0,0.7
Al×1.00 other×0.70,4,4,-154.28879810982784,6.994552146934976,False,1.0,0.7
Al×1.00 other×1.00,1,1,-41.90500393305181,-41.8640393397391,False,1.0,1.0
Al×1.00 other×1.00,2,1,-34.30577935187827,0.5561900889309058,False,1.0,1.0
Al×1.00 other×1.00,2,2,24.303332875672137,-30.91978292336526,False,1.0,1.0
Al×1.00 other×1.00,3,1,-100.16037791907037,-17.558502971969897,False,1.0,1.0
Al×1.00 other×1.00,3,2,35.79663037216861,-23.870318981380315,False,1.0,1.0
Al×1.00 other×1.00,3,3,-87.1076836834225,-34.41771569579757,False,1.0,1.0
Al×1.00 other×1.00,4,1,-7.846663126109839,2.0975391061735458,False,1.0,1.0
Al×1.00 other×1.00,4,2,152.13308337578047,-24.03767053935949,False,1.0,1.0
Al×1.00 other×1.00,4,3,57.8832606814851,17.132521782273326,False,1.0,1.0
Al×1.00 other×1.00,4,4,-149.39591721642958,10.661896875080398,False,1.0,1.0
