K_eff_GPa,eps_assoc_K,T_K,p_bar,N_mmol_g
0.3,200.0,273.0,0.03517970854337624,0.7882723157573239
0.3,200.0,273.0,0.04051424942146391,0.8724622197798699
0.3,200.0,273.0,0.04665770337922934,0.9631312574752926
0.3,200.0,273.0,0.05373273146387932,1.060401133665892
0.3,200.0,273.0,0.061880594659844954,1.1643445105213832
0.3,200.0,273.0,0.07126397432503748,1.2749811013208079
0.3,200.0,273.0,0.08207022030922942,1.3922748733262613
0.3,200.0,273.0,0.09451509160693887,1.5161325482947376
0.3,200.0,273.0,0.10884706423120744,1.7129646839063852
0.3,200.0,273.0,0.12535229231987327,1.855667496017005
0.3,200.0,273.0,0.1443603215284684,2.004883343083478
0.3,200.0,273.0,0.1662506687841307,2.4348716197577636
0.3,200.0,273.0,0.1914603997728015,2.616339022512111
0.3,200.0,273.0,0.22049285545286207,2.80345363981616
0.3,200.0,273.0,0.25392770182998,2.9956566393347575
0.3,200.0,273.0,0.2924325036483547,3.192358789320838
0.3,200.0,273.0,0.33677605308027264,3.392950684444564
0.3,200.0,273.0,0.3878437195364236,3.596812889551616
0.3,200.0,273.0,0.44665512707340205,3.8033256705468705
0.3,200.0,273.0,0.5143845123479462,4.011878032355904
0.3,200.0,273.0,0.5923841695876297,4.221875847092826
0.3,200.0,273.0,0.6822114506835166,4.4327489238072175
0.3,200.0,273.0,0.785659859492348,4.643956937141398
0.3,200.0,273.0,0.9047948611813732,4.8549941898531515
0.3,200.0,273.0,1.0419951215901386,5.065393229639228
0.3,200.0,273.0,1.2,5.2747273727957475
0.3,200.0,298.0,0.001,0.012334340599388413
0.3,200.0,298.0,0.0013130324344878836,0.016145966871771247
0.3,200.0,298.0,0.0017240541740171785,0.021116850502087618
0.3,200.0,298.0,0.0022637390492987737,0.02758746377971735
0.3,200.0,298.0,0.002972362794946059,0.03599092648175229
0.3,200.0,298.0,0.003902808756829234,0.0468741862588251
0.3,200.0,298.0,0.00512451448332012,0.0609221188357235
0.3,200.0,298.0,0.0067286537276022365,0.07898412007177358
0.3,200.0,298.0,0.008834940584779547,0.10210226113536608
0.3,200.0,298.0,0.01160056354458889,0.13153923501830725
0.3,200.0,298.0,0.015231916192382951,0.1688029365028591
0.3,200.0,298.0,0.020000000000000004,0.21566250951182028
0.3,200.0,298.0,0.02303273739264226,0.24439285117433104
0.3,200.0,298.0,0.026525349589921046,0.27655289691202756
0.3,200.0,298.0,0.030547570567634134,0.3124672002403825
0.3,200.0,298.0,0.03517970854337624,0.3524732105816474
0.3,200.0,298.0,0.04051424942146391,0.41811460695110303
0.3,200.0,298.0,0.04665770337922934,0.4699416022175084
0.3,200.0,298.0,0.05373273146387932,0.5270799508820345
0.3,200.0,298.0,0.061880594659844954,0.5898633885085981
0.3,200.0,298.0,0.07126397432503748,0.6586110103692526
0.3,200.0,298.0,0.08207022030922942,0.7336207842784216
0.3,200.0,298.0,0.09451509160693887,0.8151627706379391
0.3,200.0,298.0,0.10884706423120744,0.9034722378799591
0.3,200.0,298.0,0.12535229231987327,0.9987429028075878
0.3,200.0,298.0,0.1443603215284684,1.1011205599641942
0.3,200.0,298.0,0.1662506687841307,1.2106973862825292
0.3,200.0,298.0,0.1914603997728015,1.3275072113904027
0.3,200.0,298.0,0.22049285545286207,1.5135276902601773
0.3,200.0,298.0,0.25392770182998,1.6501963589507467
0.3,200.0,298.0,0.2924325036483547,1.7943358068457909
0.3,200.0,298.0,0.33677605308027264,2.1914143309368272
0.3,200.0,298.0,0.3878437195364236,2.3703125509924274
0.3,200.0,298.0,0.44665512707340205,2.5563157672880057
0.3,200.0,298.0,0.5143845123479462,2.7489045334141173
0.3,200.0,298.0,0.5923841695876297,2.9475036420224043
0.3,200.0,298.0,0.6822114506835166,3.151492639141911
0.3,200.0,298.0,0.785659859492348,3.3602171281504125
0.3,200.0,298.0,0.9047948611813732,3.5730004464392775
0.3,200.0,298.0,1.0419951215901386,3.7891553050344196
0.3,200.0,298.0,1.2,4.007995010746262
0.3,200.0,323.0,0.001,0.0054389748350848945
0.3,200.0,323.0,0.0013130324344878836,0.007132890495859849
0.3,200.0,323.0,0.0017240541740171785,0.009350919342832224
0.3,200.0,323.0,0.0022637390492987737,0.012252842866136465
0.3,200.0,323.0,0.002972362794946059,0.016045548464828988
0.3,200.0,323.0,0.003902808756829234,0.020995884362422924
0.3,200.0,323.0,0.00512451448332012,0.027446403118458494
0.3,200.0,323.0,0.0067286537276022365,0.03583430559929838
0.3,200.0,323.0,0.008834940584779547,0.04671375989360029
0.3,200.0,323.0,0.01160056354458889,0.06078154161108243
0.3,200.0,323.0,0.015231916192382951,0.07890559433829154
0.3,200.0,323.0,0.020000000000000004,0.10215557956640846
0.3,200.0,323.0,0.02303273739264226,0.11664632211781603
0.3,200.0,323.0,0.026525349589921046,0.13306870165988074
0.3,200.0,323.0,0.030547570567634134,0.15165082530884386
0.3,200.0,323.0,0.03517970854337624,0.17264121732720536
0.3,200.0,323.0,0.04051424942146391,0.19630918579793655
0.3,200.0,323.0,0.04665770337922934,0.22294479463457925
0.3,200.0,323.0,0.05373273146387932,0.25285833439921584
0.3,200.0,323.0,0.061880594659844954,0.2863791808059417
0.3,200.0,323.0,0.07126397432503748,0.3238539328197781
0.3,200.0,323.0,0.08207022030922942,0.3842444184713062
0.3,200.0,323.0,0.09451509160693887,0.43306532376170737
0.3,200.0,323.0,0.10884706423120744,0.4871251623396305
0.3,200.0,323.0,0.12535229231987327,0.5467946613319764
0.3,200.0,323.0,0.1443603215284684,0.6124366829816383
0.3,200.0,323.0,0.1662506687841307,0.684399649076168
0.3,200.0,323.0,0.1914603997728015,0.7630104290426123
0.3,200.0,323.0,0.22049285545286207,0.8485668481332825
0.3,200.0,323.0,0.25392770182998,0.9413300219946761
0.3,200.0,323.0,0.2924325036483547,1.041516772484603
0.3,200.0,323.0,0.33677605308027264,1.1492924211549427
0.3,200.0,323.0,0.3878437195364236,1.3222883606390412
0.3,200.0,323.0,0.44665512707340205,1.4505186907620773
0.3,200.0,323.0,0.5143845123479462,1.5869118601830037
0.3,200.0,323.0,0.5923841695876297,1.7313998708905323
0.3,200.0,323.0,0.6822114506835166,2.119995844275494
0.3,200.0,323.0,0.785659859492348,2.301012385122481
0.3,200.0,323.0,0.9047948611813732,2.490031549269492
0.3,200.0,323.0,1.0419951215901386,2.686553002651453
0.3,200.0,323.0,1.2,2.8900049314808562
0.3,300.0,273.0,0.001,0.05359971635814383
0.3,300.0,273.0,0.0013130324344878836,0.06894938597158891
0.3,300.0,273.0,0.0017240541740171785,0.08834782846981615
0.3,300.0,273.0,0.0022637390492987737,0.11271826879501169
0.3,300.0,273.0,0.002972362794946059,0.14314261731407313
0.3,300.0,273.0,0.003902808756829234,0.18086901601048
0.3,300.0,273.0,0.00512451448332012,0.22730970379493023
0.3,300.0,273.0,0.0067286537276022365,0.28402584784644447
0.3,300.0,273.0,0.008834940584779547,0.3526977417902143
0.3,300.0,273.0,0.01160056354458889,0.45846313492978163
0.3,300.0,273.0,0.015231916192382951,0.562100100254104
0.3,300.0,273.0,0.020000000000000004,0.6833949098662249
0.3,300.0,273.0,0.02303273739264226,0.753707729079172
0.3,300.0,273.0,0.026525349589921046,0.8293348627200112
0.3,300.0,273.0,0.030547570567634134,0.9104379196930978
0.3,300.0,273.0,0.03517970854337624,0.9971582456084574
0.3,300.0,273.0,0.04051424942146391,1.0896142000223
0.3,300.0,273.0,0.04665770337922934,1.1878982543960186
0.3,300.0,273.0,0.05373273146387932,1.2920739278375137
0.3,300.0,273.0,0.061880594659844954,1.402172626000525
0.3,300.0,273.0,0.07126397432503748,1.586007955624666
0.3,300.0,273.0,0.08207022030922942,1.7147685545917688
0.3,300.0,273.0,0.09451509160693887,1.8499790046834612
0.3,300.0,273.0,0.10884706423120744,1.9914917152203255
0.3,300.0,273.0,0.12535229231987327,2.139100065495257
0.3,300.0,273.0,0.1443603215284684,2.5567333937570202
0.3,300.0,273.0,0.1662506687841307,2.731817749006126
0.3,300.0,273.0,0.1914603997728015,2.912295605244092
0.3,300.0,273.0,0.22049285545286207,3.0977253486061334
0.3,300.0,273.0,0.25392770182998,3.287627594122803
0.3,300.0,273.0,0.2924325036483547,3.4814933288130425
0.3,300.0,273.0,0.33677605308027264,3.6787926747484807
0.3,300.0,273.0,0.3878437195364236,3.878983828227529
0.3,300.0,273.0,0.44665512707340205,4.081521753634152
0.3,300.0,273.0,0.5143845123479462,4.285866273735771
0.3,300.0,273.0,0.5923841695876297,4.491489289691024
0.3,300.0,273.0,0.6822114506835166,4.697880968080172
0.3,300.0,273.0,0.785659859492348,4.904554832934302
0.3,300.0,273.0,0.9047948611813732,5.111051785093847
0.3,300.0,273.0,1.0419951215901386,5.316943131375678
0.3,300.0,273.0,1.2,5.521832739730794
0.3,300.0,298.0,0.001,0.018772463702954822
0.3,300.0,298.0,0.0013130324344878836,0.024471414528771978
0.3,300.0,298.0,0.0017240541740171785,0.03184074041233275
