T_K,strain_pct,p_bar,mmol_per_g_abs,N_per_cell_abs,is_omega_min
273.0,0.5,1.00000e-03,0.02379,3.08425e-02,0
273.0,0.5,1.33352e-03,0.03159,4.09459e-02,0
273.0,0.5,1.77828e-03,0.04188,5.42838e-02,0
273.0,0.5,2.37137e-03,0.05542,7.18394e-02,0
273.0,0.5,3.16228e-03,0.07318,9.48598e-02,0
273.0,0.5,4.21697e-03,0.09636,1.24907e-01,0
273.0,0.5,5.62341e-03,0.12644,1.63903e-01,0
273.0,0.5,7.49894e-03,0.16523,2.14176e-01,0
273.0,0.5,1.00000e-02,0.21483,2.78472e-01,0
273.0,0.5,1.33352e-02,0.27769,3.59954e-01,0
273.0,0.5,1.77828e-02,0.35652,4.62143e-01,0
273.0,0.5,2.37137e-02,0.45423,5.88806e-01,0
273.0,0.5,3.16228e-02,0.57378,7.43770e-01,0
273.0,0.5,4.21697e-02,0.71796,9.30664e-01,0
273.0,0.5,5.62341e-02,0.88917,1.15259e+00,0
273.0,0.5,7.49894e-02,1.08911,1.41177e+00,0
273.0,0.5,1.00000e-01,1.31856,1.70920e+00,0
273.0,0.5,1.33352e-01,1.57717,2.04442e+00,0
273.0,0.5,1.77828e-01,1.86338,2.41543e+00,0
273.0,0.5,2.37137e-01,2.17452,2.81874e+00,0
273.0,0.5,3.16228e-01,2.50701,3.24973e+00,0
273.0,0.5,4.21697e-01,2.85670,3.70303e+00,0
273.0,0.5,5.62341e-01,3.21924,4.17297e+00,0
273.0,0.5,7.49894e-01,3.59036,4.65405e+00,0
273.0,0.5,1.00000e+00,3.96618,5.14121e+00,0
273.0,1.0,1.00000e-03,0.02506,3.24785e-02,0
273.0,1.0,1.33352e-03,0.03325,4.31007e-02,0
273.0,1.0,1.77828e-03,0.04406,5.71123e-02,0
273.0,1.0,2.37137e-03,0.05827,7.55367e-02,0
273.0,1.0,3.16228e-03,0.07689,9.96691e-02,0
273.0,1.0,4.21697e-03,0.10116,1.31127e-01,0
273.0,1.0,5.62341e-03,0.13261,1.71901e-01,0
273.0,1.0,7.49894e-03,0.17311,2.24392e-01,0
273.0,1.0,1.00000e-02,0.22483,2.91437e-01,0
273.0,1.0,1.33352e-02,0.29030,3.76302e-01,0
273.0,1.0,1.77828e-02,0.37232,4.82624e-01,0
273.0,1.0,2.37137e-02,0.47390,6.14297e-01,0
273.0,1.0,3.16228e-02,0.59809,7.75274e-01,0
273.0,1.0,4.21697e-02,0.74777,9.69298e-01,0
273.0,1.0,5.62341e-02,0.92540,1.19956e+00,0
273.0,1.0,7.49894e-02,1.13276,1.46835e+00,0
273.0,1.0,1.00000e-01,1.37066,1.77674e+00,0
273.0,1.0,1.33352e-01,1.63881,2.12432e+00,0
273.0,1.0,1.77828e-01,1.93569,2.50916e+00,0
273.0,1.0,2.37137e-01,2.25871,2.92787e+00,0
273.0,1.0,3.16228e-01,2.60428,3.37582e+00,0
273.0,1.0,4.21697e-01,2.96815,3.84749e+00,0
273.0,1.0,5.62341e-01,3.34570,4.33690e+00,0
273.0,1.0,7.49894e-01,3.73228,4.83801e+00,0
273.0,1.0,1.00000e+00,4.12345,5.34506e+00,0
273.0,2.0,1.00000e-03,0.02678,3.47153e-02,0
273.0,2.0,1.33352e-03,0.03557,4.61118e-02,0
273.0,2.0,1.77828e-03,0.04719,6.11746e-02,0
273.0,2.0,2.37137e-03,0.06251,8.10302e-02,0
273.0,2.0,3.16228e-03,0.08263,1.07116e-01,0
273.0,2.0,4.21697e-03,0.10896,1.41243e-01,0
273.0,2.0,5.62341e-03,0.14323,1.85662e-01,0
273.0,2.0,7.49894e-03,0.18755,2.43118e-01,0
273.0,2.0,1.00000e-02,0.24446,3.16888e-01,0
273.0,2.0,1.33352e-02,0.31690,4.10783e-01,0
273.0,2.0,1.77828e-02,0.40817,5.29091e-01,0
273.0,2.0,2.37137e-02,0.52185,6.76447e-01,0
273.0,2.0,3.16228e-02,0.66160,8.57601e-01,0
273.0,2.0,4.21697e-02,0.83092,1.07708e+00,0
273.0,2.0,5.62341e-02,1.03281,1.33878e+00,0
273.0,2.0,7.49894e-02,1.26941,1.64548e+00,0
273.0,2.0,1.00000e-01,1.54166,1.99839e+00,0
273.0,2.0,1.33352e-01,1.84905,2.39686e+00,0
273.0,2.0,1.77828e-01,2.18952,2.83818e+00,0
273.0,2.0,2.37137e-01,2.55952,3.31780e+00,0
273.0,2.0,3.16228e-01,2.95432,3.82957e+00,0
273.0,2.0,4.21697e-01,3.36843,4.36636e+00,0
273.0,2.0,5.62341e-01,3.79600,4.92061e+00,0
273.0,2.0,7.49894e-01,4.23131,5.48488e+00,0
273.0,2.0,1.00000e+00,4.66904,6.05229e+00,0
273.0,3.0,1.00000e-03,0.02766,3.58592e-02,0
273.0,3.0,1.33352e-03,0.03672,4.76018e-02,0
273.0,3.0,1.77828e-03,0.04868,6.31017e-02,0
273.0,3.0,2.37137e-03,0.06442,8.34999e-02,0
273.0,3.0,3.16228e-03,0.08505,1.10245e-01,0
273.0,3.0,4.21697e-03,0.11198,1.45153e-01,0
273.0,3.0,5.62341e-03,0.14693,1.90464e-01,0
273.0,3.0,7.49894e-03,0.19201,2.48898e-01,0
273.0,3.0,1.00000e-02,0.24971,3.23686e-01,0
273.0,3.0,1.33352e-02,0.32291,4.18573e-01,0
273.0,3.0,1.77828e-02,0.41487,5.37775e-01,0
273.0,3.0,2.37137e-02,0.52910,6.85855e-01,0
273.0,3.0,3.16228e-02,0.66925,8.67520e-01,0
273.0,3.0,4.21697e-02,0.83881,1.08731e+00,0
273.0,3.0,5.62341e-02,1.04084,1.34920e+00,0
273.0,3.0,7.49894e-02,1.27764,1.65615e+00,0
273.0,3.0,1.00000e-01,1.55035,2.00966e+00,0
273.0,3.0,1.33352e-01,1.85876,2.40944e+00,0
273.0,3.0,1.77828e-01,2.20113,2.85324e+00,0
273.0,3.0,2.37137e-01,2.57425,3.33689e+00,0
273.0,3.0,3.16228e-01,2.97362,3.85458e+00,0
273.0,3.0,4.21697e-01,3.39388,4.39935e+00,0
273.0,3.0,5.62341e-01,3.82918,4.96362e+00,0
273.0,3.0,7.49894e-01,4.27371,5.53983e+00,0
273.0,3.0,1.00000e+00,4.72201,6.12095e+00,0
273.0,5.0,1.00000e-03,0.03048,3.95039e-02,0
273.0,5.0,1.33352e-03,0.04046,5.24524e-02,0
273.0,5.0,1.77828e-03,0.05366,6.95520e-02,0
273.0,5.0,2.37137e-03,0.07103,9.20683e-02,0
273.0,5.0,3.16228e-03,0.09382,1.21609e-01,0
273.0,5.0,4.21697e-03,0.12358,1.60191e-01,0
273.0,5.0,5.62341e-03,0.16224,2.10303e-01,0
273.0,5.0,7.49894e-03,0.21212,2.74962e-01,0
273.0,5.0,1.00000e-02,0.27598,3.57736e-01,0
273.0,5.0,1.33352e-02,0.35698,4.62739e-01,0
273.0,5.0,1.77828e-02,0.45867,5.94551e-01,0
273.0,5.0,2.37137e-02,0.58481,7.58061e-01,0
273.0,5.0,3.16228e-02,0.73922,9.58217e-01,0
273.0,5.0,4.21697e-02,0.92548,1.19966e+00,0
273.0,5.0,5.62341e-02,1.14660,1.48629e+00,0
273.0,5.0,7.49894e-02,1.40465,1.82079e+00,0
273.0,5.0,1.00000e-01,1.70043,2.20420e+00,0
273.0,5.0,1.33352e-01,2.03326,2.63564e+00,0
273.0,5.0,1.77828e-01,2.40095,3.11225e+00,0
273.0,5.0,2.37137e-01,2.79991,3.62942e+00,0
273.0,5.0,3.16228e-01,3.22553,4.18113e+00,0
273.0,5.0,4.21697e-01,3.67250,4.76052e+00,0
273.0,5.0,5.62341e-01,4.13529,5.36041e+00,0
273.0,5.0,7.49894e-01,4.60843,5.97372e+00,0
273.0,5.0,1.00000e+00,5.08682,6.59385e+00,0
323.0,0.0,1.00000e-03,0.00409,5.29970e-03,1
323.0,0.0,1.33352e-03,0.00545,7.06252e-03,1
323.0,0.0,1.77828e-03,0.00726,9.40961e-03,1
323.0,0.0,2.37137e-03,0.00967,1.25330e-02,1
323.0,0.0,3.16228e-03,0.01287,1.66868e-02,1
323.0,0.0,4.21697e-03,0.01713,2.22058e-02,1
323.0,0.0,5.62341e-03,0.02278,2.95303e-02,1
323.0,0.0,7.49894e-03,0.03027,3.92364e-02,1
323.0,0.0,1.00000e-02,0.04017,5.20731e-02,1
323.0,0.0,1.33352e-02,0.05324,6.90078e-02,1
323.0,0.0,1.77828e-02,0.07042,9.12778e-02,1
323.0,0.0,2.37137e-02,0.09292,1.20447e-01,1
323.0,0.0,3.16228e-02,0.12225,1.58466e-01,1
323.0,0.0,4.21697e-02,0.16025,2.07723e-01,1
323.0,0.0,5.62341e-02,0.20913,2.71084e-01,1
323.0,0.0,7.49894e-02,0.27148,3.51905e-01,1
323.0,0.0,1.00000e-01,0.35023,4.53992e-01,1
323.0,0.0,1.33352e-01,0.44861,5.81509e-01,1
323.0,0.0,1.77828e-01,0.56994,7.38795e-01,1
323.0,0.0,2.37137e-01,0.71752,9.30097e-01,1
323.0,0.0,3.16228e-01,0.89428,1.15922e+00,1
323.0,0.0,4.21697e-01,1.10249,1.42911e+00,1
323.0,0.0,5.62341e-01,1.34348,1.74150e+00,1
323.0,0.0,7.49894e-01,1.61736,2.09652e+00,1
323.0,0.0,1.00000e+00,1.92287,2.49254e+00,1
323.0,0.5,1.00000e-03,0.00437,5.66571e-03,0
323.0,0.5,1.33352e-03,0.00582,7.54971e-03,0
323.0,0.5,1.77828e-03,0.00776,1.00577e-02,0
323.0,0.5,2.37137e-03,0.01033,1.33945e-02,0
323.0,0.5,3.16228e-03,0.01376,1.78307e-02,0
323.0,0.5,4.21697e-03,0.01830,2.37228e-02,0
323.0,0.5,5.62341e-03,0.02433,3.15384e-02,0
323.0,0.5,7.49894e-03,0.03231,4.18884e-02,0
323.0,0.5,1.00000e-02,0.04287,5.55653e-02,0
323.0,0.5,1.33352e-02,0.05677,7.35890e-02,0
323.0,0.5,1.77828e-02,0.07503,9.72593e-02,0
323.0,0.5,2.37137e-02,0.09891,1.28212e-01,0
323.0,0.5,3.16228e-02,0.12997,1.68474e-01,0
323.0,0.5,4.21697e-02,0.17012,2.20515e-01,0
323.0,0.5,5.62341e-02,0.22162,2.87277e-01,0
323.0,0.5,7.49894e-02,0.28712,3.72180e-01,0
323.0,0.5,1.00000e-01,0.36958,4.79077e-01,0
323.0,0.5,1.33352e-01,0.47225,6.12155e-01,0
323.0,0.5,1.77828e-01,0.59845,7.75751e-01,0
323.0,0.5,2.37137e-01,0.75146,9.74091e-01,0
323.0,0.5,3.16228e-01,0.93418,1.21094e+00,0
323.0,0.5,4.21697e-01,1.14885,1.48920e+00,0
323.0,0.5,5.62341e-01,1.39674,1.81053e+00,0
323.0,0.5,7.49894e-01,1.67789,2.17498e+00,0
323.0,0.5,1.00000e+00,1.99098,2.58083e+00,0
323.0,1.0,1.00000e-03,0.00461,5.97927e-03,0
323.0,1.0,1.33352e-03,0.00615,7.96710e-03,0
323.0,1.0,1.77828e-03,0.00819,1.06130e-02,0
323.0,1.0,2.37137e-03,0.01090,1.41327e-02,0
323.0,1.0,3.16228e-03,0.01451,1.88110e-02,0
323.0,1.0,4.21697e-03,0.01930,2.50229e-02,0
323.0,1.0,5.62341e-03,0.02566,3.32600e-02,0
323.0,1.0,7.49894e-03,0.03407,4.41632e-02,0
323.0,1.0,1.00000e-02,0.04518,5.85631e-02,0
323.0,1.0,1.33352e-02,0.05981,7.75271e-02,0
323.0,1.0,1.77828e-02,0.07901,1.02413e-01,0
323.0,1.0,2.37137e-02,0.10409,1.34925e-01,0
323.0,1.0,3.16228e-02,0.13668,1.77175e-01,0
323.0,1.0,4.21697e-02,0.17877,2.31730e-01,0
323.0,1.0,5.62341e-02,0.23270,3.01644e-01,0
323.0,1.0,7.49894e-02,0.30123,3.90467e-01,0
323.0,1.0,1.00000e-01,0.38742,5.02195e-01,0
323.0,1.0,1.33352e-01,0.49462,6.41160e-01,0
323.0,1.0,1.77828e-01,0.62629,8.11841e-01,0
323.0,1.0,2.37137e-01,0.78578,1.01858e+00,0
323.0,1.0,3.16228e-01,0.97604,1.26521e+00,0
323.0,1.0,4.21697e-01,1.19936,1.55468e+00,0
323.0,1.0,5.62341e-01,1.45701,1.88867e+00,0
323.0,1.0,7.49894e-01,1.74905,2.26723e+00,0
323.0,1.0,1.00000e+00,2.07416,2.68865e+00,0
323.0,2.0,1.00000e-03,0.00496,6.43401e-03,0
323.0,2.0,1.33352e-03,0.00661,8.57427e-03,0
323.0,2.0,1.77828e-03,0.00881,1.14240e-02,0
323.0,2.0,2.37137e-03,0.01174,1.52166e-02,0
323.0,2.0,3.16228e-03,0.01563,2.02605e-02,0
323.0,2.0,4.21697e-03,0.02080,2.69629e-02,0
323.0,2.0,5.62341e-03,0.02766,3.58591e-02,0
323.0,2.0,7.49894e-03,0.03676,4.76497e-02,0
323.0,2.0,1.00000e-02,0.04879,6.32466e-02,0
323.0,2.0,1.33352e-02,0.06467,8.38284e-02,0
323.0,2.0,1.77828e-02,0.08556,1.10904e-01,0
323.0,2.0,2.37137e-02,0.11293,1.46384e-01,0
323.0,2.0,3.16228e-02,0.14862,1.92653e-01,0
323.0,2.0,4.21697e-02,0.19490,2.52639e-01,0
323.0,2.0,5.62341e-02,0.25447,3.29860e-01,0
323.0,2.0,7.49894e-02,0.33052,4.28441e-01,0
323.0,2.0,1.00000e-01,0.42666,5.53067e-01,0
323.0,2.0,1.33352e-01,0.54685,7.08862e-01,0
323.0,2.0,1.77828e-01,0.69519,9.01152e-01,0
323.0,2.0,2.37137e-01,0.87569,1.13512e+00,0
323.0,2.0,3.16228e-01,1.09188,1.41537e+00,0
323.0,2.0,4.21697e-01,1.34644,1.74534e+00,0
323.0,2.0,5.62341e-01,1.64075,2.12684e+00,0
323.0,2.0,7.49894e-01,1.97462,2.55962e+00,0
323.0,2.0,1.00000e+00,2.34604,3.04107e+00,0
323.0,3.0,1.00000e-03,0.00514,6.65704e-03,0
323.0,3.0,1.33352e-03,0.00684,8.87057e-03,0
323.0,3.0,1.77828e-03,0.00912,1.18172e-02,0
323.0,3.0,2.37137e-03,0.01214,1.57374e-02,0
323.0,3.0,3.16228e-03,0.01616,2.09490e-02,0
323.0,3.0,4.21697e-03,0.02150,2.78705e-02,0
323.0,3.0,5.62341e-03,0.02858,3.70511e-02,0
323.0,3.0,7.49894e-03,0.03796,4.92077e-02,0
323.0,3.0,1.00000e-02,0.05035,6.52707e-02,0
323.0,3.0,1.33352e-02,0.06668,8.64374e-02,0
323.0,3.0,1.77828e-02,0.08813,1.14234e-01,0
323.0,3.0,2.37137e-02,0.11617,1.50583e-01,0
323.0,3.0,3.16228e-02,0.15265,1.97871e-01,0
323.0,3.0,4.21697e-02,0.19981,2.59012e-01,0
323.0,3.0,5.62341e-02,0.26036,3.37490e-01,0
323.0,3.0,7.49894e-02,0.33741,4.37377e-01,0
323.0,3.0,1.00000e-01,0.43455,5.63294e-01,0
323.0,3.0,1.33352e-01,0.55567,7.20297e-01,0
323.0,3.0,1.77828e-01,0.70485,9.13674e-01,0
323.0,3.0,2.37137e-01,0.88610,1.14862e+00,0
323.0,3.0,3.16228e-01,1.10302,1.42980e+00,0
323.0,3.0,4.21697e-01,1.35843,1.76088e+00,0
323.0,3.0,5.62341e-01,1.65398,2.14399e+00,0
323.0,3.0,7.49894e-01,1.98979,2.57928e+00,0
323.0,3.0,1.00000e+00,2.36425,3.06468e+00,0
323.0,5.0,1.00000e-03,0.00561,7.27668e-03,0
323.0,5.0,1.33352e-03,0.00748,9.69664e-03,0
323.0,5.0,1.77828e-03,0.00997,1.29183e-02,0
323.0,5.0,2.37137e-03,0.01327,1.72050e-02,0
323.0,5.0,3.16228e-03,0.01767,2.29046e-02,0
323.0,5.0,4.21697e-03,0.02351,3.04757e-02,0
323.0,5.0,5.62341e-03,0.03126,4.05205e-02,0
323.0,5.0,7.49894e-03,0.04152,5.38257e-02,0
323.0,5.0,1.00000e-02,0.05509,7.14131e-02,0
323.0,5.0,1.33352e-02,0.07298,9.45994e-02,0
323.0,5.0,1.77828e-02,0.09648,1.25065e-01,0
323.0,5.0,2.37137e-02,0.12723,1.64927e-01,0
323.0,5.0,3.16228e-02,0.16726,2.16817e-01,0
323.0,5.0,4.21697e-02,0.21905,2.83945e-01,0
323.0,5.0,5.62341e-02,0.28555,3.70145e-01,0
323.0,5.0,7.49894e-02,0.37020,4.79877e-01,0
323.0,5.0,1.00000e-01,0.47689,6.18174e-01,0
323.0,5.0,1.33352e-01,0.60983,7.90495e-01,0
323.0,5.0,1.77828e-01,0.77336,1.00248e+00,0
323.0,5.0,2.37137e-01,0.97168,1.25955e+00,0
323.0,5.0,3.16228e-01,1.20847,1.56650e+00,0
323.0,5.0,4.21697e-01,1.48647,1.92686e+00,0
