dF0_K,eps_assoc_K,T_K,p_bar,N_mmol_g
100.0,100.0,273.0,0.020000000000000004,0.409090038112331
100.0,100.0,273.0,0.02288290047345013,0.45748985251776086
100.0,100.0,273.0,0.026181356703891212,0.5106612403145264
100.0,100.0,273.0,0.029955268985751946,0.5688936081494502
100.0,100.0,273.0,0.03427317194281946,0.632461849656201
100.0,100.0,273.0,0.03921347912384905,0.7016203221920668
100.0,100.0,273.0,0.04486590700043761,0.776596666072619
100.0,100.0,273.0,0.051333104227104166,1.1565987586182795
100.0,100.0,273.0,0.05873251575110334,1.2726125330911398
100.0,100.0,273.0,0.06719851562439198,1.3967538090632978
100.0,100.0,273.0,0.07688484724982726,1.5290767222078423
100.0,100.0,273.0,0.08796741537671066,1.6695664841782516
100.0,100.0,273.0,0.10064748054859585,1.8181367698065567
100.0,100.0,273.0,0.11515531401485132,1.9746289752438149
100.0,100.0,273.0,0.131754379479537,2.138813452301189
100.0,100.0,273.0,0.15074611762857124,2.3103927132157183
100.0,100.0,273.0,0.1724754203226801,2.489006484893937
100.0,100.0,273.0,0.1973368938680183,2.674238383604333
100.0,100.0,273.0,0.22578202510608278,2.8656238909119756
100.0,100.0,273.0,0.2583273804598255,3.062659248197536
100.0,100.0,273.0,0.2955639868314636,3.264810855896092
100.0,100.0,273.0,0.33816806471002536,3.4715247660650936
100.0,100.0,273.0,0.38691330840293764,3.6822358903183314
100.0,100.0,273.0,0.4426849364018869,3.8963766032744394
100.0,100.0,273.0,0.5064957670389989,4.113384495847212
100.0,100.0,273.0,0.5795046113688597,4.332709113487653
100.0,100.0,273.0,0.6630373172929507,4.5538175930653875
100.0,100.0,273.0,0.7586108470898982,4.776199181500338
100.0,100.0,273.0,0.8679608256018917,4.999368675147435
100.0,100.0,273.0,0.9930730593550847,5.222868859645519
100.0,100.0,273.0,1.1362195990043518,5.446272056178141
100.0,100.0,273.0,1.3,5.669180894204859
100.0,100.0,298.0,0.001,0.009943960463716855
100.0,100.0,298.0,0.0013130324344878836,0.013032749248485053
100.0,100.0,298.0,0.0017240541740171785,0.01707152809701958
100.0,100.0,298.0,0.0022637390492987737,0.022346000353205966
100.0,100.0,298.0,0.002972362794946059,0.02922350269591747
100.0,100.0,298.0,0.003902808756829234,0.03817363083119045
100.0,100.0,298.0,0.00512451448332012,0.04979249374987048
100.0,100.0,298.0,0.0067286537276022365,0.06483036397727272
100.0,100.0,298.0,0.008834940584779547,0.08422194404840348
100.0,100.0,298.0,0.01160056354458889,0.10911768535211505
100.0,100.0,298.0,0.015231916192382951,0.14091351368306604
100.0,100.0,298.0,0.020000000000000004,0.18127485569854704
100.0,100.0,298.0,0.02288290047345013,0.20498337867305413
100.0,100.0,298.0,0.026181356703891212,0.23151851734865547
100.0,100.0,298.0,0.029955268985751946,0.26115683748562285
100.0,100.0,298.0,0.03427317194281946,0.29418941825732564
100.0,100.0,298.0,0.03921347912384905,0.3309199559489235
100.0,100.0,298.0,0.04486590700043761,0.37166221520595116
100.0,100.0,298.0,0.051333104227104166,0.41673677930886466
100.0,100.0,298.0,0.05873251575110334,0.46646707627886774
100.0,100.0,298.0,0.06719851562439198,0.5211746905113243
100.0,100.0,298.0,0.07688484724982726,0.5811740085528906
100.0,100.0,298.0,0.08796741537671066,0.6467662901339641
100.0,100.0,298.0,0.10064748054859585,0.7182332985518972
100.0,100.0,298.0,0.11515531401485132,1.0739948701895583
100.0,100.0,298.0,0.131754379479537,1.1859607530839573
100.0,100.0,298.0,0.15074611762857124,1.3064276170096731
100.0,100.0,298.0,0.1724754203226801,1.4355473074317944
100.0,100.0,298.0,0.1973368938680183,1.5734038452889931
100.0,100.0,298.0,0.22578202510608278,1.7200081147009434
100.0,100.0,298.0,0.2583273804598255,1.8752942417340033
100.0,100.0,298.0,0.2955639868314636,2.039117910101415
100.0,100.0,298.0,0.33816806471002536,2.211256762931999
100.0,100.0,298.0,0.38691330840293764,2.3914129263770816
100.0,100.0,298.0,0.4426849364018869,2.5792175710524634
100.0,100.0,298.0,0.5064957670389989,2.7742373125386646
100.0,100.0,298.0,0.5795046113688597,2.9759821534011346
100.0,100.0,298.0,0.6630373172929507,3.183914595478968
100.0,100.0,298.0,0.7586108470898982,3.3974595083149746
100.0,100.0,298.0,0.8679608256018917,3.6160143293937845
100.0,100.0,298.0,0.9930730593550847,3.838959192188187
100.0,100.0,298.0,1.1362195990043518,4.065666623486161
100.0,100.0,298.0,1.3,4.295510514624868
100.0,100.0,323.0,0.001,0.004524939076960347
100.0,100.0,323.0,0.0013130324344878836,0.0059367581348339265
100.0,100.0,323.0,0.0017240541740171785,0.007787205958857639
100.0,100.0,323.0,0.0022637390492987737,0.010211233968809125
100.0,100.0,323.0,0.002972362794946059,0.013384391605418083
